Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-10-2018,0.966796404518292,0.9814803920314252,0.9379540721022102,0.945769353289968,0.9807227387611785,0.9884564433123546,0.9941434074830723,0.9327051055487889,0.9669139642578563,0.9940050434482653,0.9662564654191905,1.0,0.9780108387957918,0.9589754270368166,0.9594492203177986,0.9566522519046151,0.9986053293154079,0.9989108796150935,0.996789058392013,0.9680976465573461,0.9678705494818998,0.9682318174718358,0.9770109919039577,0.9566437332517996,0.9898717474684062,0.9811050151156097,0.9651465474285716,0.9673599032877721,0.9684429986733752,0.9545147097381299,0.9730269402157747,0.9709889982136836,0.9645573395765514,0.9601570612186476,0.956938366614462,0.9911482592527857,0.99895814688374,0.9982919310887025,0.9873514116430178,0.9622114088941992,0.9691279135873501,0.9756165396106393
01-11-2018,0.9666087534747898,0.9853938479651442,0.9344525524796151,0.9459931195219543,0.9866657216845148,0.9883413420504792,0.9936839498539302,0.9487930583292068,0.9578221948117066,0.9918193372983876,0.9845782641160492,1.0,0.9742207800872051,0.9568447059388464,0.9605769884494849,0.9566556554313858,0.9983990695491002,0.9964383201575062,1.0168582811296938,0.98070249271368,0.931525212223342,0.9702908309017128,0.9820786305815503,0.9635007706813775,0.9948376851848405,1.0121065473402238,0.9643682617906117,0.9622858853486108,0.9677281549796011,0.9542169337401492,0.969377583412742,0.9750126241019773,0.9594257623950322,0.9585162912604194,0.9611705980995516,0.9932786965132246,0.9972619064105551,0.9962076915538145,0.9882930769587807,0.9551701819489526,0.9510888874146252,0.9712452644664207
01-12-2018,0.9570434059917462,0.9724035744870114,0.9414625394403662,0.9564198269678159,0.9803936262057258,0.9879803389470491,0.9989730424663853,0.9471333630321915,0.961753803458579,0.9874694450730301,0.9902983294592398,1.0,0.9703261920139122,0.9568223409587318,0.958449598155454,0.9487430196206255,0.9995135669601922,0.9844209761635936,1.0199292754790192,1.0040310066639555,0.9288687297403667,0.9771395269727776,0.9766706843312012,0.9653550263348666,1.00044139204619,1.0083007235711827,0.9684316227666042,0.9684506205868916,0.9656223342720425,0.9597277901748954,0.9669679885573712,0.9670200455254835,0.9604151867470961,0.9555039053855855,0.9520790171430138,0.9902010497307159,0.9991479873357936,0.9964026343284391,0.9941265752190344,0.9587485483954064,0.9361869040047123,0.9703787604211845
01-01-2019,0.9562691260036977,0.9765975653441121,0.9462053353268021,0.9386986481934629,0.9689954751998733,0.9944857322056319,0.9995076322248023,0.9531475500565231,0.9517090139867981,0.9868582453465382,0.9981730227533683,1.0,0.9776522207524896,0.952555500805585,0.9575848823970715,0.947957597811732,0.9986126503588537,0.9913837575812428,1.0134903253727228,0.9948470727971741,0.9763117342282446,0.9718045563307288,0.972166307654703,0.966392837204057,1.0227068973429865,1.0026189092474789,0.9741455975989167,0.9725002753930806,0.9640808918637658,0.9504167235543632,0.9645223964135916,0.9674937299336953,0.9584576475853308,0.9609445563221701,0.9402860915922637,0.994156398673658,0.9984453207283688,0.996337928893057,0.9927471046744811,0.9598769243204621,0.9462615346727286,0.9718223646480963
01-02-2019,0.957346018746319,0.9760233127514674,0.9475169236780633,0.92339181780533,0.9603362244475302,0.9858631471199572,0.9995377761252152,0.9505592837685103,0.9806948470704088,0.9818339842841622,0.9919795762433102,1.0,0.9780164351215892,0.9530471613907477,0.9602917238743268,0.9526758422402192,0.9969158474359868,0.992293357731592,0.9978755150630708,1.004949289117368,0.9616145922120729,0.9792316029458017,0.9647926717496453,0.9705928970639636,1.0218269383227163,0.9627188237250484,0.9757263857702031,0.967104267912067,0.9617212353061871,0.9414359736577617,0.9616407225694541,0.9665708562081724,0.9609739661049679,0.9639341239942723,0.9454410404256882,0.9946476327623053,0.9953612308891581,0.9986533889362875,0.9781892251157379,0.9568566343298449,0.9705417763039498,0.9716083373636534
01-03-2019,0.9614784376357747,0.9773600695490974,0.9457225373466233,0.921295096818233,0.9550395261725173,0.9952577448728004,1.000544735866314,0.9446429017145572,0.9714150650040972,0.982975243137032,1.0134386838578262,0.9950886694276309,0.973469293288916,0.9498241335670374,0.9641350047168956,0.9608457678816865,0.9956353558547119,0.9912471129643783,0.9921579591519238,0.9961840178174085,0.9644971215424284,0.9742106877474848,0.975790765209126,0.9747393644643584,1.015684908936278,0.9724076769826824,0.9716875615376117,0.9554236488503193,0.964000845263477,0.946536474116927,0.9626533381342199,0.9667670844346699,0.9557369728513463,0.9700585009540855,0.960761819128414,0.9880824685633395,0.9919758734896187,0.99933484641144,0.9818055341520345,0.952103617179169,0.9767048735127232,0.9736682352614064
01-04-2019,0.9603107420274712,0.9777161314929426,0.9407250363197877,0.9387096519164304,0.9593575255838471,0.9806184481410682,0.9989031129698819,0.9373887074056406,0.9924401261241486,0.9853014832713252,1.0097150388780933,0.9848939632168316,0.9608630038496531,0.9486928503354412,0.9661288171204018,0.9556950434091068,0.995995301166807,0.9827238936635261,0.9924247214248926,0.9879767326566089,0.9462759066471054,0.9742776662961555,0.973998715216629,0.9780500253279187,0.9965762184447501,0.9861759012964841,0.9624610239559046,0.9461198876628808,0.958311398077449,0.9532379574541192,0.961485589645347,0.967483768262246,0.957656119838512,0.9635259806306484,0.9680045804006491,0.9921558738396182,0.9916600876446064,0.9985338791026533,0.9863330621913381,0.9455288587471653,0.9645896173934027,0.9682356909616311
01-05-2019,0.9569727077251162,0.9797213794474585,0.9440410903980949,0.9558211118212676,0.9576708829334541,0.9969005851050847,0.9940493269401061,0.9272330035755147,0.9751236203461128,0.9887396121872676,0.9849214656686738,0.9414741913839981,0.969016810714935,0.9483145282438653,0.9651964521999044,0.9458113374148525,0.9939282395094248,0.9851930586317377,0.9891048108169272,0.9776395660277002,0.9551330881962672,0.9663430121361534,0.9783717636927559,0.9724240153430804,0.9940184955215894,0.9764619428929933,0.9631854808621186,0.9593379438093294,0.9621733985807657,0.9571046880084358,0.966059147543372,0.9647156662448707,0.9606814250641982,0.9556897825882733,0.9588848050538268,0.9937177361865608,0.9950545721211989,0.9976257418660597,0.9912465333751012,0.9476574981177328,0.9645805790091609,0.9663407234228399
01-06-2019,0.9589772052040584,0.9850480082813549,0.9435733939996579,0.9603389003959126,0.9600007358276055,0.9959213994974129,0.9950489679411759,0.9377942973370745,0.9707038582019768,0.9920601151545586,0.9718814324245763,0.9242508515047756,0.974742257802353,0.9511139857122056,0.9667089293435073,0.9363752972949909,0.9954130924514052,0.9828762482795883,0.9924937883543817,1.0022340033875698,0.9598237016024543,0.9679369309308711,0.973906885198402,0.9694869263990038,0.9922036526916193,0.9676495473683882,0.9643294937577763,0.9666982070911381,0.9617321756450333,0.9554478701587527,0.9663392533261985,0.9665806841545462,0.9625423584310671,0.957180747602278,0.9191794200210688,0.9983508207621344,0.995613872638254,0.9930342574126929,0.9794109062610314,0.9536064969318134,0.9791582711561132,0.9655834099916922
01-07-2019,0.9549646550924711,0.9827511237568695,0.9491898929852943,0.9523834832307168,0.948197118023437,0.9924477556933393,0.9971099713886971,0.9429304942309331,0.9682606862758565,0.9917136341975489,0.963698796927067,0.9525553615766605,0.9665008588688739,0.9511602437223051,0.9597265392156201,0.9366408413856027,0.9966522414746786,0.9869727204631535,0.9916465393501049,0.9762075483228757,0.989617098421336,0.9705735394632965,0.9767318820397053,0.9656172002386632,0.9869077196165257,0.9738338202564147,0.973026280447927,0.9704616767136217,0.9679176857473262,0.9571001558410049,0.9668756467219867,0.9689886061462789,0.9637017488233648,0.9568283356871962,0.925852068215868,0.9976267956628978,0.9942430184398185,0.9937694097563209,0.9778350209125641,0.9555604390646341,0.9718627684291126,0.9597760740736685
