Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-09-2019,280.7421926626095,658.0652985842768,1287.6696800329798,460.80507156081393,345.2845988727578
01-10-2019,275.53933689089075,666.2110252197014,1259.6130593584282,470.85567663881864,342.70640933548935
01-11-2019,282.01791475710246,674.4824179341716,1262.0778131597087,475.98531314340266,340.15439469959585
01-12-2019,286.71436411225534,666.8518593215282,1246.745639055036,477.61979837213033,335.90192302182743
01-01-2020,291.4655645428036,657.3690104374797,1281.8897145996903,467.61424270846476,334.2430034025902
01-02-2020,283.1657458842662,661.441179599751,1299.6797044478021,464.92783825298426,332.4930769548076
01-03-2020,289.9175151158455,664.0006055197298,1272.503124887569,467.29142405351837,333.2868051440588
01-04-2020,287.20984208691186,666.8577156792871,1242.128535325983,468.25240076197537,339.15062862072585
01-05-2020,298.42128234890873,661.9971586244317,1215.6649364639152,495.7129612834945,343.1021130113656
01-06-2020,297.75764864528054,650.0026989158655,1179.9748982228227,475.4484190100991,346.14035901211685
01-07-2020,285.9397733087546,643.045454806711,1158.3202414403825,475.2551794016309,340.03183980518196
01-08-2020,287.13342053902363,634.2542161214117,1212.0596260806667,467.0855864942831,336.51461875671333
01-09-2020,297.8635476710159,651.7000569301887,1224.4061185951125,476.9143491036343,347.76293740943106
01-10-2020,287.2299049705611,662.5038670745822,1256.3127087580997,484.54974272840093,359.39366858928287
01-11-2020,296.6943118665556,661.5855700851899,1238.175096582879,486.6277785716879,356.30510373076834
01-12-2020,301.3795138136374,663.1200341948852,1213.25592592995,484.2843742410747,357.6422634192469
01-01-2021,302.88123224591754,655.8577365760394,1182.7274158691637,491.5211873299878,356.5249378113393
01-02-2021,295.42058912399335,668.8919186807034,1159.3205845968598,497.514233289159,359.26655129390963
01-03-2021,302.3663729983203,665.5230343282909,1147.537603665803,496.27877092775634,357.3564243323109
01-04-2021,305.8017203333647,666.5972731996179,1159.9742314883813,482.22148183111364,350.223495483647
01-05-2021,307.18519894267155,680.3312627169713,1172.5078065520581,478.43092148812,351.9120910590146
01-06-2021,306.2387748889198,699.6638895269754,1216.989988130755,488.4928238930853,360.99053130868896
01-07-2021,312.0440502582257,716.2276549804518,1231.8203164690424,497.3421683008696,372.1697620060785
01-08-2021,313.24277840847384,707.0074674532644,1233.7985831016288,505.7947430337613,377.3571707482676
01-09-2021,310.0231515312818,708.2877565285759,1216.4255078029742,510.04239272276254,382.85817562049226
01-10-2021,309.5572112704381,706.742205918109,1218.662733630921,510.41030776135204,381.7292366905528
01-11-2021,306.3580662829726,717.8811965353137,1239.2708822389468,516.3575770326896,386.26135424204807
01-12-2021,325.9636648054183,717.5747202669874,1251.8575198517606,528.7186057768447,382.3107733003968
01-01-2022,327.8075802098625,714.1800035099698,1249.200545929664,524.0544668556036,382.4446609258092
01-02-2022,326.25821260053476,720.4602203995115,1259.6993166928098,517.9761402654128,384.2487301623219
01-03-2022,319.4893660412221,733.8634652809069,1263.8983598090997,513.606839292306,385.90331252258045
01-04-2022,313.5755178817076,734.9805224991153,1293.8137088971907,517.4221560118647,388.76249171750646
01-05-2022,320.29013602887545,757.1936428865829,1295.0120128750586,522.4865889663344,397.873833322931
01-06-2022,324.0979532480409,769.9497202840247,1289.764241892101,526.7084991794871,414.42355235001975
01-07-2022,316.17038336822935,768.3163564449229,1281.4728196029662,531.0410050258904,419.1950103096654
01-08-2022,315.83839211051213,761.4877753871427,1287.486179688715,534.412180727601,414.4560492769497
01-09-2022,317.90098990538837,755.0824883428385,1286.8033854017497,530.4730010641346,404.17419644712123
01-10-2022,330.61707053683386,753.7739584501379,1276.2239559699265,523.5116220498671,403.3553475682533
01-11-2022,318.0079214674284,729.3157602729931,1262.986592454201,506.86538167375096,406.64605456407384
01-12-2022,317.65568677944833,736.7821872159849,1297.7718777411199,505.6945083959295,401.7532358917042
01-01-2023,310.0055310668717,714.4248781914803,1293.8108177307427,498.36820220389694,389.0593343913814
01-02-2023,299.82899135851767,711.541881693619,1289.6822148149276,490.44354167863435,386.9066981121162
01-03-2023,304.37275362618044,706.8365587424709,1292.774398828811,492.43866880869064,378.519618136982
01-04-2023,304.21039316409235,725.7102150196919,1295.911638405002,507.20785451113903,385.46734970822985
01-05-2023,312.96786448137607,759.2911212894597,1325.8377946896742,511.3007351204835,391.64039494151535
01-06-2023,313.99925705976324,753.9422310269911,1317.0109424154139,515.8775169669005,391.10595112793186
01-07-2023,318.53923858952186,759.9897483044406,1299.5088462982285,517.6737712862287,393.58750841866345
01-08-2023,318.79907905663333,756.906792954912,1271.9118646259399,515.1532326446649,392.5057798817687
