Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-12-2019,501420.0,878087.5810810811,1140210.8695652173,626252.8985507246,556284.6153846154
01-01-2020,490516.36,886872.527027027,1253297.8405797102,629458.7608695652,546423.0769230769
01-02-2020,504112.36,879263.8243243244,1243121.572463768,641730.5882352941,551076.9230769231
01-03-2020,486610.4166666667,881092.9594594594,1289387.0289855073,625053.3913043478,550269.2307692308
01-04-2020,481421.8541666667,878911.3783783783,1215053.543478261,619167.0434782609,562967.3076923077
01-05-2020,489697.1875,877350.8378378379,1127358.2898550725,620977.3405797102,551757.6923076923
01-06-2020,474123.5208333333,886000.7297297297,1056009.2826086956,608222.6691176471,565692.3076923077
01-07-2020,456466.6458333333,860396.6447368421,1061497.8602941176,613927.1397058824,556861.5384615385
01-08-2020,454139.5625,848881.0921052631,1178378.1492537314,612191.1764705882,559800.0
01-09-2020,481559.96,853236.9078947369,1184730.9,621182.5294117647,552884.6153846154
01-10-2020,513479.1666666667,866633.2631578947,1239229.0461538462,651821.1544117647,566884.6153846154
01-11-2020,520042.96,915632.7236842106,1244445.656716418,664507.3823529412,570038.4615384615
01-12-2020,489914.5833333333,911468.7763157894,1247047.884057971,680130.9202898551,569269.2307692308
01-01-2021,496427.0833333333,894534.3815789474,1205855.427536232,658930.4347826086,565807.6923076923
01-02-2021,497792.7708333333,885252.6486486486,1136633.2205882352,656612.5724637681,564211.5
01-03-2021,482127.4583333333,903302.2837837838,1153306.3455882352,650203.2608695652,570415.3846153846
01-04-2021,486713.125,914989.8378378379,1184212.1739130435,651441.768115942,572750.0
01-05-2021,495383.3333333333,932554.0540540541,1197794.6666666667,661306.5724637681,586073.0769230769
01-06-2021,494676.875,910740.3648648649,1197823.1811594204,669373.8260869565,590192.2692307692
01-07-2021,497227.0833333333,925241.7567567568,1223451.456521739,657833.4411764706,605615.3846153846
01-08-2021,533871.875,916728.552631579,1217084.7101449275,663277.2426470588,617423.0769230769
01-09-2021,540320.0,914204.8421052631,1166256.5217391304,675355.9485294118,620723.0769230769
01-10-2021,561916.0,904006.8157894737,1181283.5507246377,682181.8985507246,629769.2307692308
01-11-2021,540316.0,927141.8783783783,1230926.9927536233,699858.7826086957,630669.2307692308
01-12-2021,529279.0,944572.9594594594,1268491.5,693017.1231884058,616103.3846153846
01-01-2022,511864.42,1002152.0,1235319.7608695652,690883.8529411765,621188.0
01-02-2022,547715.625,986387.8378378379,1209836.0507246377,694700.2647058824,634246.1538461539
01-03-2022,589625.0,952027.027027027,1201184.7826086956,712747.3308823529,640015.3846153846
01-04-2022,587532.6086956522,950149.9054054054,1269125.391304348,694820.5882352941,642846.1538461539
01-05-2022,573634.625,978193.4594594594,1308707.6811594204,706248.4044117647,640961.5384615385
01-06-2022,570431.8958333334,995360.8108108108,1333632.0144927537,684436.7205882353,664838.4615384615
01-07-2022,588004.62,1033168.8918918918,1271711.0144927537,708091.536231884,670923.0769230769
01-08-2022,582958.3333333334,984476.1447368421,1216328.5,699999.2753623188,670724.5384615385
01-09-2022,562666.6458333334,990574.8157894737,1189706.5072463767,703035.6884057971,668576.9230769231
01-10-2022,559781.25,971240.8947368421,1138676.7246376812,717293.4782608695,658788.4615384615
01-11-2022,549320.0,990637.2631578947,1154451.8623188406,701217.9710144928,667675.9230769231
01-12-2022,549379.98,1025906.0,1231310.536231884,681129.9264705882,641814.0769230769
01-01-2023,528037.98,1031750.3552631579,1231079.7101449275,679233.2058823529,640676.8846153846
01-02-2023,520127.96,1013299.1710526316,1218073.5294117648,675679.4117647059,637984.6153846154
01-03-2023,480650.0,992950.9342105263,1249867.375,664480.1323529412,635388.4615384615
01-04-2023,486635.4166666667,1003640.9078947369,1291521.8405797102,656160.2867647059,617803.3846153846
01-05-2023,504043.47826086957,1034081.0135135135,1317291.0507246377,673788.463768116,621337.5384615385
01-06-2023,537795.5208333334,1030059.4459459459,1263593.6594202898,671845.6521739131,641119.9615384615
01-07-2023,570300.0,1007373.3108108108,1191789.6231884058,688156.0144927537,647634.6153846154
01-08-2023,564175.7,996141.8783783783,1123406.4927536233,690652.8985507246,651115.3846153846
