Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-07-2019,637750.0,939290.0,688000.0,933374.75,637500.0,741701.0,2017083.3333333333,634437.5,549000.0,1444000.0,825062.5,789360.0,658500.0,643437.5,312500.0,699833.3333333334,919705.8823529412,1325617.5,3035000.0,438833.3333333333,620000.0,541650.0,294000.0,847291.0714285715,1969430.0,517125.0,495954.1666666667,468500.0,571062.5,509800.0,612000.0,588000.0,521185.1666666667,538833.3333333334,887500.0,1374333.3333333333,1275892.857142857,1751125.0,639800.0,694187.5,970666.3333333334,550000.0
01-08-2019,634250.0,882760.0,802125.0,853250.0,553166.6666666666,729541.6666666666,1773888.3333333333,600000.0,577333.3333333334,1458921.6,795625.0,802500.0,629750.0,658643.75,357500.0,743333.3333333334,966382.3529411765,1308250.0,2812500.0,501416.6666666667,659625.0,531250.0,299650.0,972109.5714285715,1739400.0,549875.0,507333.3333333333,490650.0,624125.0,510250.0,611750.0,604854.1666666666,520259.22222222225,539416.6666666666,741500.0,1396166.6666666667,1324285.7142857143,1559625.0,545700.0,680750.0,969395.0,549000.0
01-09-2019,607500.0,960850.0,879749.875,852625.0,549166.6666666666,757750.0,1851820.0,610500.0,608333.3333333334,1321518.3,809750.0,780000.0,648750.0,656562.5,403250.0,748166.6666666666,945119.1764705882,1236040.0,1787977.1666666667,451000.0,707375.0,542840.0,324275.0,1042298.0714285715,1582250.0,535312.5,510912.5,488578.3333333333,638097.0,502000.0,639350.0,584208.3333333334,524666.6666666666,533333.3333333334,822500.0,1253270.0,1086428.5714285714,1510625.0,499008.0,703750.0,1016290.0,565000.0
01-10-2019,611875.0,988806.3,882249.875,902375.0,548333.3333333334,779666.6666666666,1653375.0,630125.0,595333.3333333334,1190300.0,654250.0,815500.0,668250.0,702493.0,403333.3333333333,730333.3333333334,857948.6470588235,1251523.75,1655533.3333333333,355333.3333333333,711000.0,553996.4444444445,314475.0,931565.2142857143,1591737.5,377738.375,526250.0,481666.6666666667,649236.0,528625.0,619500.0,562812.5,533388.8888888889,562384.5,861250.0,1153333.3333333333,1132857.142857143,1369375.0,531250.0,683687.5,867670.5,560000.0
01-11-2019,619375.0,1004600.0,880000.0,899749.875,655000.0,712122.8333333334,1815552.0833333333,683250.0,585500.0,1217369.8,685625.0,780000.0,643250.0,702062.5,290800.0,715833.3333333334,750882.3529411765,1206640.0,1714283.5,314483.3333333333,653333.3333333334,566331.5555555555,323500.0,884085.2857142857,1712100.0,473750.0,539666.6666666666,465000.0,613500.0,536430.0,613968.0,520666.6666666667,554875.0,562666.6666666666,1120000.0,1045498.3333333334,1088928.5714285714,1260312.5,572215.4,693375.0,809235.8333333334,560000.0
01-12-2019,665000.0,992250.0,845500.0,935124.875,651250.0,772125.6666666666,1727937.5,682250.0,545166.6666666666,1166439.2,670625.0,721136.5,672250.0,721125.0,249966.66666666666,725500.0,755147.0588235294,1216497.5,1915980.0,450666.6666666667,754875.0,571388.8888888889,301250.0,809107.1428571428,1476675.0,490000.0,536016.6666666666,468666.6666666667,604875.0,542050.0,605860.0,517750.0,534161.1111111111,558833.3333333334,1047000.0,1045474.0,1067857.142857143,1280625.0,555632.2,706187.5,662600.0,559950.0
01-01-2020,690937.5,962400.0,730875.0,876749.75,622500.0,823579.8333333334,2127604.1666666665,703750.0,569803.0,1197842.2,679000.0,721136.5,698500.0,700750.0,298833.3333333333,794500.0,776470.5882352941,1208500.0,2043333.3333333333,431666.6666666667,644125.0,559111.1111111111,327500.0,792479.2142857143,1641191.9,530750.0,501250.0,471833.3333333333,604750.0,554400.0,605000.0,534066.6666666666,546222.2222222222,517500.0,1050000.0,1009214.1666666666,1078357.0714285714,1368125.0,554397.6,698031.25,964191.1666666666,555250.0
01-02-2020,598875.0,1012697.6,738750.0,874998.5,609575.0,836943.5833333334,2045000.0,664937.5,558303.0,1188967.4,633823.125,732125.25,707625.0,699375.0,373583.3333333333,728500.0,829529.4117647059,1170000.0,2092698.8333333333,431666.6666666667,689287.5,557222.2222222222,308000.0,923678.5714285715,1480500.0,531750.0,502000.0,459666.6666666667,620812.5,563411.0,621700.0,573162.0,539500.0,525500.0,828750.0,1046043.3333333334,1097857.142857143,1547500.0,510250.0,688824.0,1080833.3333333333,550000.0
01-03-2020,597625.0,1007864.0,723125.0,858750.0,612000.0,902969.4166666666,2148750.0,695624.75,394166.6666666667,1169909.1,676643.75,777500.0,791000.0,701750.0,318833.3333333333,700000.0,848470.5882352941,1222500.0,2236548.8333333335,359583.3333333333,745500.0,556444.2222222222,293500.0,820392.8571428572,1539084.7,635737.5,515741.6666666667,463833.3333333333,619562.5,474440.0,613100.0,581037.0,544827.7777777778,542166.6666666666,736250.0,968081.6666666666,1094321.4285714286,1654778.125,500357.5,693386.5,1057166.6666666667,535000.0
01-04-2020,610861.0,1013999.9,846250.0,901250.0,651000.0,913791.3333333334,1570166.6666666667,683750.0,401666.6666666667,1076793.9,695000.5,771250.0,749250.0,712375.0,307833.3333333333,697962.6666666666,874176.4705882353,1238125.0,2470496.0,311916.6666666667,681333.3333333334,556777.7777777778,272500.0,754107.1428571428,1450650.0,641625.0,555729.0833333334,458691.6666666667,623500.0,464800.0,623700.0,585995.3333333334,528500.0,579000.0,702250.0,1034236.3333333334,1194071.4285714286,1820374.875,489950.0,698750.0,959833.3333333334,543500.0
