Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-02-2019,485.3310151166226,666.018488940814,537.9688999653688,534.0116848124931,389.74402913583515,916.7235387758925,1683.1255421938406,473.12924171406183,206.9273538168928,1059.4187771052489,548.7086404154787,946.2491475877329,356.0940460706112,525.2772579194497,246.63927803979334,605.9855136488303,1229.3775399587157,1101.0815602836878,1713.8865210297452,422.5854319688213,276.549083905029,351.7702306600413,290.50874999999996,910.4121000421513,1439.0357958352163,253.6561273344799,286.3822963480679,300.97043689147364,449.81714850575725,315.89307322085506,335.8058292368744,388.66456188934745,363.97501040860175,348.4003584049232,638.640873015873,1401.034549230583,1045.7354883651278,1392.7138179839624,668.5977619400594,492.4020276053665,691.1853038980452,343.8015729757607
01-03-2019,432.0169239266438,663.5251238579419,531.6732060870679,534.3612300689506,356.0819501505026,896.3612358443224,1831.9857213309942,461.05057785596887,213.9780608447662,1010.1379819075801,541.2262489626191,956.4907764907765,371.20841270348023,487.209111589616,245.86655066541087,579.8459636283961,1163.9215727447597,1157.9245406824148,1798.268636729459,302.316510925204,263.14531452965826,324.0607214637601,284.8426282051282,845.5976791995973,1440.5101197080307,256.68697591303334,294.91786402764154,295.14103611783696,447.0834277878529,338.04455167143857,340.8839380877374,364.7390737633702,375.8089897467088,336.0745909194574,623.6675667314322,1579.9856672136766,1106.1377279042972,1431.6312704600882,668.8630713103082,460.86653133301047,770.4278196266035,346.7078189300411
01-04-2019,448.01403257719204,625.1703201696324,532.2072909995103,545.0913128409259,364.4854776652645,882.4815948002534,1787.0642334025326,475.6230335830267,227.82729303112475,1036.331133221425,560.7424405569731,764.0609840609841,380.7274455459617,438.0239058372595,228.70537979045412,566.9523417297834,1158.8769754892044,1269.6449543383485,1876.2077014713932,287.33091532092476,275.33723978379294,325.3077446556665,285.75,801.1267257481034,1415.124775235359,294.3156452423663,295.4610572709366,291.4004646523021,445.09701536173475,313.50243971863523,344.3914865178584,353.74968849309,356.17852962911155,331.28645723522385,650.1375298978039,1622.5386102910645,1204.0401512379233,1435.210369289579,701.1353157897842,456.65508255702304,762.9041131803416,360.5324459234609
01-05-2019,432.2641987641988,615.1117208893761,540.2057667477045,618.7240205434224,377.3467062263502,876.7992273415922,1759.5439279446489,477.02162743087666,223.46074982047253,1045.205709048221,555.6330285656944,775.7986248559712,371.5872698782724,462.4822458337304,229.76266380094174,522.4535232762861,1155.2938475371855,1317.8193925516844,1904.469474823107,254.85983465184995,278.29289516416327,329.2096636703356,299.6508699633699,804.7382726345301,1400.617162905097,275.4900187462736,293.6271220853028,289.6571099084643,449.71934332105343,324.2153312368346,343.4254706847276,385.3488589660448,350.9689477121841,336.6883022801597,647.9385477311957,1604.9215258932393,1209.7339190780262,1507.997829173997,702.6590574666741,446.45113761626516,673.6496902327241,368.9768774299161
01-06-2019,437.5142599907137,668.0685868975222,521.071871306973,627.1248332858949,391.9277175708402,947.0428078920717,1756.7676931498381,479.62838296356165,270.8773788927336,1103.1557706289414,569.0609324054661,943.830016340873,364.8105837264151,479.9110509175518,229.77893396744136,506.83672725548735,1256.014996912616,1301.5905207033027,1927.490456581727,395.68664405624344,287.96116437291676,330.5775302618253,319.75,766.3754137960103,1451.5377766656943,273.41287550518086,296.64764733602345,304.5962279167788,470.54839035867286,333.50591062543583,340.48327858651504,388.621995217223,344.6530286709287,353.57276875578367,658.8543803078529,1615.6449911010247,1263.9672415895438,1465.9915674647086,642.9029169632948,456.191982387024,723.4038901066751,360.7845988219571
01-07-2019,437.8638995033599,690.9336165758352,530.0347458619985,638.7861876142795,402.9533944029022,971.3757797020886,1874.308233019515,468.6137517030003,250.97715180275853,1116.0534654855842,543.3082272976177,968.4848072215423,363.3300061222877,494.48898687491794,229.79922162576645,494.3739305019997,1295.2357188370463,1228.7635701291574,1916.7849851195567,271.769934589564,290.3860735108848,351.8510425072267,310.2857142857143,807.3197649624675,1450.2423469946905,276.83594961092285,289.21217834804355,308.65413091455184,484.49889371098584,322.53169390667483,346.19153093738606,390.79224450026686,356.7336592326999,354.2274921399853,652.6549283626917,1630.900688768519,1275.8200313481552,1443.1985789178052,652.560102863599,472.73631174460525,671.0266130418776,356.2295751633987
01-08-2019,419.3459459375674,680.3725771377456,561.2201804725687,632.460912802897,377.0314206504243,974.4180848127959,1716.1881774793283,471.6163108070757,248.06938771380587,1117.6513079069828,540.8190659383808,932.4366918826117,377.1502423130169,519.2720552433365,231.68115380225004,498.93877452229003,1289.263424879566,1182.2290080719156,1906.8702173968256,317.1020153726816,293.8334850989155,334.80460383929346,316.0882445613458,779.9510180325234,1417.813161513432,272.19711149792846,297.99159977261405,321.75139157315084,481.2547584616203,299.3865172629258,348.5865449765013,354.8809951068706,387.69991486376307,342.96909731281886,663.9932485899899,1718.4901322841642,1249.3912859868476,1437.332941689825,642.4357342411257,488.1583541051624,643.8164989607473,353.64583333333337
01-09-2019,420.7092849653233,660.7182637736968,565.8547898891115,617.0434271117683,366.57230312586336,821.621741182635,1737.3022308558595,466.2567552636838,225.49398489080363,1099.7682667866707,554.3639929066358,881.3426657635282,384.0702356773438,520.6916046223557,242.72463208587453,536.2827074821605,1215.6194346637456,1192.7014934929807,1705.3294967994104,312.5725106668584,286.718191868962,365.3635045978287,317.6363636363636,779.8020934139964,1359.506548033771,275.0804663537739,304.25739857920104,324.87282837144767,478.2111829565711,300.7920641457421,353.6531254964128,360.1601545205007,394.6763446712037,346.5218909164814,671.0886533084808,1680.2175139724557,1166.6104948892275,1366.6796377164292,651.7872912710284,517.577328359275,598.1783861268933,353.125
01-10-2019,446.75649483691103,635.0019815695341,579.4937252196164,587.2509931020079,369.0913309815749,844.7958155141861,1603.3649942271252,466.1189120182867,228.34839457273475,1092.901846839221,604.3464138094834,961.5834178205288,384.46268501359634,534.7415075938491,241.76492819349963,542.8335528494473,1189.8032132615556,1141.6538016846685,1697.5336913714664,256.55230925851413,281.7524195769247,355.1538557801416,316.7083333333333,828.4991797505947,1395.4137962921477,267.09362801396554,314.316458642305,325.67501750683283,472.9781974609946,308.71639402392174,343.8194453189757,376.3788253091731,396.44953024147225,352.91136015845376,673.0431570045803,1658.0260295432224,1084.3926124552188,1344.39485242011,693.0359976601815,514.6847888368068,740.6887864522945,350.16348088531186
01-11-2019,450.6894631305518,666.8941581393053,565.1139278588846,548.0523576498724,385.9768703518704,921.3309789757832,1811.4652792109162,453.41470439275855,232.82496859079185,1077.4101873303198,612.030517700329,920.4393848659658,363.2626252605987,520.2271839778949,245.34026542843972,538.923389826666,1100.8802068800578,1084.6876229009395,1696.4875566311368,277.9400596611652,289.4098754951896,363.32242908711953,322.70833333333337,851.8935669068126,1371.2321708666439,272.16078166378315,316.30410888698333,319.4689619250118,481.9736173260016,318.43430074503414,342.8095844365901,392.03443181951064,401.04506443981074,351.51744104558674,659.8445355732654,1429.6312009512887,1073.6655996770592,1318.089586456762,676.652414392224,504.63106696471067,844.1127992118331,347.5
